millis,stamp,datetime,soil_moisture
14821999, 1566598485, 2019/8/23 22:14:45, 697
14851999, 1566598515, 2019/8/23 22:15:15, 697
14881999, 1566598545, 2019/8/23 22:15:45, 696
14912000, 1566598575, 2019/8/23 22:16:15, 697
14942000, 1566598605, 2019/8/23 22:16:45, 695
14972000, 1566598635, 2019/8/23 22:17:15, 697
15002000, 1566598665, 2019/8/23 22:17:45, 696
15031999, 1566598695, 2019/8/23 22:18:15, 695
15061999, 1566598725, 2019/8/23 22:18:45, 691
15091999, 1566598755, 2019/8/23 22:19:15, 694
15121999, 1566598785, 2019/8/23 22:19:45, 695
15152000, 1566598815, 2019/8/23 22:20:15, 695
15182000, 1566598845, 2019/8/23 22:20:45, 695
15212000, 1566598875, 2019/8/23 22:21:15, 689
15242000, 1566598905, 2019/8/23 22:21:45, 694
15271999, 1566598935, 2019/8/23 22:22:15, 694
15285999, 1566598950, 2019/8/23 22:22:30, 695
15315999, 1566598980, 2019/8/23 22:23:0, 695
15345999, 1566599010, 2019/8/23 22:23:30, 694
15376000, 1566599040, 2019/8/23 22:24:0, 695
15405999, 1566599070, 2019/8/23 22:24:30, 694
15435999, 1566599100, 2019/8/23 22:25:0, 694
15465998, 1566599130, 2019/8/23 22:25:30, 695
15495998, 1566599160, 2019/8/23 22:26:0, 694
15525999, 1566599190, 2019/8/23 22:26:30, 695
15555999, 1566599220, 2019/8/23 22:27:0, 694
15585999, 1566599250, 2019/8/23 22:27:30, 694
15616000, 1566599280, 2019/8/23 22:28:0, 695
15646000, 1566599310, 2019/8/23 22:28:30, 695
15690999, 1566599355, 2019/8/23 22:29:15, 694
15720999, 1566599385, 2019/8/23 22:29:45, 693
15751000, 1566599415, 2019/8/23 22:30:15, 695
