millis,stamp,datetime,soil_moisture
3098998, 1566586755, 2019/8/23 18:59:15, 686
3128999, 1566586785, 2019/8/23 18:59:45, 686
3159000, 1566586815, 2019/8/23 19:0:15, 685
3189000, 1566586845, 2019/8/23 19:0:45, 686
3218999, 1566586875, 2019/8/23 19:1:15, 687
3248999, 1566586905, 2019/8/23 19:1:45, 688
3278999, 1566586935, 2019/8/23 19:2:15, 688
3308998, 1566586965, 2019/8/23 19:2:45, 688
3338999, 1566586995, 2019/8/23 19:3:15, 689
3368999, 1566587025, 2019/8/23 19:3:45, 690
3398999, 1566587055, 2019/8/23 19:4:15, 690
3429000, 1566587085, 2019/8/23 19:4:45, 691
3459000, 1566587115, 2019/8/23 19:5:15, 691
3488998, 1566587145, 2019/8/23 19:5:45, 692
3518999, 1566587175, 2019/8/23 19:6:15, 692
3548999, 1566587205, 2019/8/23 19:6:45, 693
3578998, 1566587235, 2019/8/23 19:7:15, 694
3608999, 1566587265, 2019/8/23 19:7:45, 692
3639000, 1566587295, 2019/8/23 19:8:15, 694
3668999, 1566587325, 2019/8/23 19:8:45, 694
3699000, 1566587355, 2019/8/23 19:9:15, 695
3728999, 1566587385, 2019/8/23 19:9:45, 695
3758999, 1566587415, 2019/8/23 19:10:15, 695
3788999, 1566587445, 2019/8/23 19:10:45, 696
3832999, 1566587490, 2019/8/23 19:11:30, 701
3847998, 1566587505, 2019/8/23 19:11:45, 696
3877999, 1566587535, 2019/8/23 19:12:15, 696
3907998, 1566587565, 2019/8/23 19:12:45, 698
3937999, 1566587595, 2019/8/23 19:13:15, 698
3968000, 1566587625, 2019/8/23 19:13:45, 698
3997999, 1566587655, 2019/8/23 19:14:15, 696
4028000, 1566587685, 2019/8/23 19:14:45, 698
4057998, 1566587715, 2019/8/23 19:15:15, 689
4087999, 1566587745, 2019/8/23 19:15:45, 686
4117999, 1566587775, 2019/8/23 19:16:15, 687
4147998, 1566587805, 2019/8/23 19:16:45, 688
4177999, 1566587835, 2019/8/23 19:17:15, 688
4208000, 1566587865, 2019/8/23 19:17:45, 689
4237999, 1566587895, 2019/8/23 19:18:15, 690
4268000, 1566587925, 2019/8/23 19:18:45, 690
4297998, 1566587955, 2019/8/23 19:19:15, 689
4327999, 1566587985, 2019/8/23 19:19:45, 692
4357999, 1566588015, 2019/8/23 19:20:15, 691
4387999, 1566588045, 2019/8/23 19:20:45, 693
4417999, 1566588075, 2019/8/23 19:21:15, 693
4447998, 1566588105, 2019/8/23 19:21:45, 693
4478000, 1566588135, 2019/8/23 19:22:15, 692
4507999, 1566588165, 2019/8/23 19:22:45, 694
4537999, 1566588195, 2019/8/23 19:23:15, 694
4567999, 1566588225, 2019/8/23 19:23:45, 695
4597998, 1566588255, 2019/8/23 19:24:15, 696
4627999, 1566588285, 2019/8/23 19:24:45, 697
4657999, 1566588315, 2019/8/23 19:25:15, 696
4687998, 1566588345, 2019/8/23 19:25:45, 696
4718000, 1566588375, 2019/8/23 19:26:15, 698
4747999, 1566588405, 2019/8/23 19:26:45, 697
4778000, 1566588435, 2019/8/23 19:27:15, 697
4807999, 1566588465, 2019/8/23 19:27:45, 698
4837998, 1566588495, 2019/8/23 19:28:15, 698
4867999, 1566588525, 2019/8/23 19:28:45, 698
4912998, 1566588570, 2019/8/23 19:29:30, 697
4942999, 1566588600, 2019/8/23 19:30:0, 699
4972999, 1566588630, 2019/8/23 19:30:30, 699
5002998, 1566588660, 2019/8/23 19:31:0, 699
5032999, 1566588690, 2019/8/23 19:31:30, 699
5062999, 1566588720, 2019/8/23 19:32:0, 699
5092999, 1566588750, 2019/8/23 19:32:30, 698
5123000, 1566588780, 2019/8/23 19:33:0, 698
5152999, 1566588810, 2019/8/23 19:33:30, 699
5182998, 1566588840, 2019/8/23 19:34:0, 699
5212999, 1566588870, 2019/8/23 19:34:30, 699
5242999, 1566588900, 2019/8/23 19:35:0, 699
5272999, 1566588930, 2019/8/23 19:35:30, 700
5302999, 1566588960, 2019/8/23 19:36:0, 699
5347999, 1566589005, 2019/8/23 19:36:45, 736
5361999, 1566589020, 2019/8/23 19:37:0, 712
5376999, 1566589035, 2019/8/23 19:37:15, 705
5391998, 1566589050, 2019/8/23 19:37:30, 704
5406999, 1566589065, 2019/8/23 19:37:45, 701
5422000, 1566589080, 2019/8/23 19:38:0, 702
5436999, 1566589095, 2019/8/23 19:38:15, 701
5451999, 1566589110, 2019/8/23 19:38:30, 701
5466999, 1566589125, 2019/8/23 19:38:45, 701
5481999, 1566589140, 2019/8/23 19:39:0, 701
5496999, 1566589155, 2019/8/23 19:39:15, 700
5511999, 1566589170, 2019/8/23 19:39:30, 700
5541998, 1566589200, 2019/8/23 19:40:0, 700
5571999, 1566589230, 2019/8/23 19:40:30, 699
5601999, 1566589260, 2019/8/23 19:41:0, 698
5631998, 1566589290, 2019/8/23 19:41:30, 698
5662000, 1566589320, 2019/8/23 19:42:0, 698
5692000, 1566589350, 2019/8/23 19:42:30, 698
5722000, 1566589380, 2019/8/23 19:43:0, 698
5751999, 1566589410, 2019/8/23 19:43:30, 698
5781998, 1566589440, 2019/8/23 19:44:0, 698
5811999, 1566589470, 2019/8/23 19:44:30, 697
5841999, 1566589500, 2019/8/23 19:45:0, 697
5872000, 1566589530, 2019/8/23 19:45:30, 697
5902000, 1566589560, 2019/8/23 19:46:0, 698
5932000, 1566589590, 2019/8/23 19:46:30, 698
5961999, 1566589620, 2019/8/23 19:47:0, 697
5991999, 1566589650, 2019/8/23 19:47:30, 697
6021998, 1566589680, 2019/8/23 19:48:0, 698
6051998, 1566589710, 2019/8/23 19:48:30, 697
6081999, 1566589740, 2019/8/23 19:49:0, 697
6112000, 1566589770, 2019/8/23 19:49:30, 697
6142000, 1566589800, 2019/8/23 19:50:0, 697
6172000, 1566589830, 2019/8/23 19:50:30, 698
6201999, 1566589860, 2019/8/23 19:51:0, 698
6231999, 1566589890, 2019/8/23 19:51:30, 698
6261998, 1566589920, 2019/8/23 19:52:0, 697
6291998, 1566589950, 2019/8/23 19:52:30, 698
6321999, 1566589980, 2019/8/23 19:53:0, 699
6352000, 1566590010, 2019/8/23 19:53:30, 699
6382000, 1566590040, 2019/8/23 19:54:0, 699
6412000, 1566590070, 2019/8/23 19:54:30, 699
6441999, 1566590100, 2019/8/23 19:55:0, 699
6471999, 1566590130, 2019/8/23 19:55:30, 698
6501999, 1566590160, 2019/8/23 19:56:0, 699
6531998, 1566590190, 2019/8/23 19:56:30, 699
6561999, 1566590220, 2019/8/23 19:57:0, 699
6592000, 1566590250, 2019/8/23 19:57:30, 698
6622000, 1566590280, 2019/8/23 19:58:0, 699
6652000, 1566590310, 2019/8/23 19:58:30, 699
6711999, 1566590370, 2019/8/23 19:59:30, 700
6741998, 1566590400, 2019/8/23 20:0:0, 698
6771999, 1566590430, 2019/8/23 20:0:30, 699
6801999, 1566590460, 2019/8/23 20:1:0, 699
6832000, 1566590490, 2019/8/23 20:1:30, 699
6862000, 1566590520, 2019/8/23 20:2:0, 698
6891999, 1566590550, 2019/8/23 20:2:30, 699
6922000, 1566590580, 2019/8/23 20:3:0, 700
6951998, 1566590610, 2019/8/23 20:3:30, 699
6981999, 1566590640, 2019/8/23 20:4:0, 699
7011998, 1566590670, 2019/8/23 20:4:30, 698
7041999, 1566590700, 2019/8/23 20:5:0, 699
7072000, 1566590730, 2019/8/23 20:5:30, 699
7085999, 1566590745, 2019/8/23 20:5:45, 698
7116000, 1566590775, 2019/8/23 20:6:15, 699
7145999, 1566590805, 2019/8/23 20:6:45, 697
7175999, 1566590835, 2019/8/23 20:7:15, 699
7205998, 1566590865, 2019/8/23 20:7:45, 698
7235999, 1566590895, 2019/8/23 20:8:15, 697
7265999, 1566590925, 2019/8/23 20:8:45, 698
7295998, 1566590955, 2019/8/23 20:9:15, 697
7326000, 1566590985, 2019/8/23 20:9:45, 697
7356000, 1566591015, 2019/8/23 20:10:15, 696
7386000, 1566591045, 2019/8/23 20:10:45, 698
7415999, 1566591075, 2019/8/23 20:11:15, 697
7445998, 1566591105, 2019/8/23 20:11:45, 698
7475998, 1566591135, 2019/8/23 20:12:15, 697
7505999, 1566591165, 2019/8/23 20:12:45, 698
7536000, 1566591195, 2019/8/23 20:13:15, 698
7566000, 1566591225, 2019/8/23 20:13:45, 698
7595999, 1566591255, 2019/8/23 20:14:15, 696
7626000, 1566591285, 2019/8/23 20:14:45, 697
7655999, 1566591315, 2019/8/23 20:15:15, 698
7685998, 1566591345, 2019/8/23 20:15:45, 698
7715999, 1566591375, 2019/8/23 20:16:15, 697
7745999, 1566591405, 2019/8/23 20:16:45, 698
7776000, 1566591435, 2019/8/23 20:17:15, 698
7805999, 1566591465, 2019/8/23 20:17:45, 697
7836000, 1566591495, 2019/8/23 20:18:15, 698
7866000, 1566591525, 2019/8/23 20:18:45, 698
7895999, 1566591555, 2019/8/23 20:19:15, 698
7925998, 1566591585, 2019/8/23 20:19:45, 698
7955999, 1566591615, 2019/8/23 20:20:15, 696
7985999, 1566591645, 2019/8/23 20:20:45, 698
8015998, 1566591675, 2019/8/23 20:21:15, 698
8046000, 1566591705, 2019/8/23 20:21:45, 699
8076000, 1566591735, 2019/8/23 20:22:15, 699
8120998, 1566591780, 2019/8/23 20:23:0, 699
8150999, 1566591810, 2019/8/23 20:23:30, 698
8181000, 1566591840, 2019/8/23 20:24:0, 698
8211000, 1566591870, 2019/8/23 20:24:30, 698
8240998, 1566591900, 2019/8/23 20:25:0, 697
8286000, 1566591945, 2019/8/23 20:25:45, 698
8316000, 1566591975, 2019/8/23 20:26:15, 699
8345999, 1566592005, 2019/8/23 20:26:45, 698
8375999, 1566592035, 2019/8/23 20:27:15, 697
8405998, 1566592065, 2019/8/23 20:27:45, 698
8435998, 1566592095, 2019/8/23 20:28:15, 698
8465999, 1566592125, 2019/8/23 20:28:45, 698
8495998, 1566592155, 2019/8/23 20:29:15, 698
8526000, 1566592185, 2019/8/23 20:29:45, 696
8556000, 1566592215, 2019/8/23 20:30:15, 698
8585999, 1566592245, 2019/8/23 20:30:45, 697
8615999, 1566592275, 2019/8/23 20:31:15, 696
